seed,target_stage,method,point_type,precision,recall,average_precision
42,Reconnaissance,frozen,curve,0.1281588844656564,0.995727956254272,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1282243485162485,0.9938482570061518,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12813826025459688,0.9907723855092276,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12813753073838588,0.9883800410116199,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12800639587821183,0.9849624060150376,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12787177203918076,0.9815447710184553,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1278732425797813,0.9791524265208476,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1278942305541263,0.976930963773069,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12791532113383566,0.9747095010252905,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12789155407683833,0.9721462747778538,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12798034885293189,0.9704374572795625,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1282051282051282,0.969753930280246,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12813660657668266,0.9668489405331511,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1282976887799119,0.9656527682843472,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1284338939845688,0.9642857142857143,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1284795108150041,0.9622351332877649,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12850248175850318,0.9600136705399863,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1286172896124742,0.9584757347915243,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12864072090296774,0.9562542720437457,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1285490412979351,0.9531784005468216,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12850310745558302,0.9504442925495558,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12857275211933109,0.9485645933014354,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12857308719377686,0.9461722488038278,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1285967036036875,0.9439507860560492,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1287137955982916,0.9424128503075871,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12876128971875148,0.9403622693096377,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12878556850969997,0.9381408065618592,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12885700846660395,0.9362611073137389,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12909386715710547,0.9355775803144224,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12916952317912106,0.9336978810663021,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12931361395525218,0.9323308270676691,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1293871634626809,0.9304511278195489,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12938962214704341,0.9280587833219412,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1294637525379195,0.9261790840738209,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12949037264105756,0.9239576213260424,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12946910941964607,0.9213943950786057,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1295230758119267,0.9193438140806562,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1297190306073187,0.9183185235816814,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1298676153827537,0.9169514695830485,0.4012734738777736
42,Reconnaissance,frozen,curve,0.12997160814385206,0.9152426520847573,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13012165450121654,0.9138755980861244,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13015052084603937,0.9116541353383458,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13025292304681768,0.9099453178400547,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1303803987933191,0.9084073820915927,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1304839661617155,0.9066985645933014,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1304648008876834,0.9041353383458647,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13059387825742966,0.9025974025974026,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1308228177603689,0.901742993848257,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13082927314308443,0.8993506493506493,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13083576360328025,0.8969583048530417,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1308422894276431,0.894565960355434,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13097416104859527,0.893028024606972,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13115701648572578,0.8918318523581682,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13121487790741626,0.8897812713602188,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13122251983625613,0.8873889268626111,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1312808817939947,0.8853383458646616,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1314157942880374,0.8838004101161996,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13152597650775855,0.8820915926179084,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13163677244621597,0.8803827751196173,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1315944554049553,0.8776486671223513,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1317351422184537,0.8761107313738893,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13187322854934294,0.8745727956254272,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1320671834625323,0.8733766233766234,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13210334015703143,0.8711551606288448,0.4012734738777736
42,Reconnaissance,frozen,curve,0.1320617431526428,0.868421052631579,0.4012734738777736
42,Reconnaissance,frozen,curve,0.13215020978292027,0.8665413533834586,0.4012734738777736
