seed,split,from_stage,to_stage,true_stage,count,fraction_of_rows,fraction_of_overrides
45,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Reconnaissance,167,0.0025353352867054303,0.05034669882423877
45,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Establish Foothold,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Lateral Movement,2,3.036329684677162e-05,0.0006029544769369913
45,test_shuffle_bn_order,Reconnaissance,Reconnaissance,Data Exfiltration,40,0.0006072659369354324,0.012059089538739826
45,test_shuffle_bn_order,Reconnaissance,Data Exfiltration,Data Exfiltration,174,0.002641606825669131,0.05245703949351824
45,test_shuffle_bn_order,Establish Foothold,Benign,Benign,2,3.036329684677162e-05,0.0006029544769369913
45,test_shuffle_bn_order,Establish Foothold,Benign,Establish Foothold,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Establish Foothold,Establish Foothold,Benign,10,0.0001518164842338581,0.0030147723846849564
45,test_shuffle_bn_order,Establish Foothold,Establish Foothold,Establish Foothold,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Establish Foothold,Establish Foothold,Data Exfiltration,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Benign,4,6.072659369354324e-05,0.0012059089538739825
45,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Establish Foothold,63,0.0009564438506733061,0.018993066023515224
45,test_shuffle_bn_order,Establish Foothold,Data Exfiltration,Data Exfiltration,8,0.00012145318738708648,0.002411817907747965
45,test_shuffle_bn_order,Lateral Movement,Benign,Benign,12,0.00018217978108062973,0.0036177268616219473
45,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Benign,11,0.00016699813265724393,0.003316249623153452
45,test_shuffle_bn_order,Lateral Movement,Reconnaissance,Lateral Movement,2,3.036329684677162e-05,0.0006029544769369913
45,test_shuffle_bn_order,Lateral Movement,Establish Foothold,Benign,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Benign,56,0.0008501723117096055,0.016882725354235757
45,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Reconnaissance,1,1.518164842338581e-05,0.00030147723846849563
45,test_shuffle_bn_order,Lateral Movement,Lateral Movement,Lateral Movement,3,4.554494527015743e-05,0.0009044317154054868
45,test_shuffle_bn_order,Lateral Movement,Data Exfiltration,Benign,28,0.0004250861558548027,0.008441362677117878
46,test,Benign,Benign,Benign,25,0.00037954121058464527,0.008512087163772558
46,test,Benign,Benign,Lateral Movement,1,1.518164842338581e-05,0.00034048348655090226
46,test,Benign,Benign,Data Exfiltration,2,3.036329684677162e-05,0.0006809669731018045
46,test,Benign,Reconnaissance,Benign,299,0.004539312878592358,0.10180456247871979
46,test,Benign,Reconnaissance,Reconnaissance,2054,0.031183105861634457,0.6993530813755533
46,test,Benign,Reconnaissance,Lateral Movement,4,6.072659369354324e-05,0.001361933946203609
46,test,Benign,Reconnaissance,Data Exfiltration,13,0.00019736142950401553,0.004426285325161729
46,test,Benign,Establish Foothold,Benign,3,4.554494527015743e-05,0.0010214504596527069
46,test,Benign,Establish Foothold,Establish Foothold,1,1.518164842338581e-05,0.00034048348655090226
46,test,Benign,Establish Foothold,Data Exfiltration,1,1.518164842338581e-05,0.00034048348655090226
46,test,Benign,Lateral Movement,Benign,20,0.0003036329684677162,0.0068096697310180455
46,test,Benign,Data Exfiltration,Benign,10,0.0001518164842338581,0.0034048348655090228
46,test,Benign,Data Exfiltration,Reconnaissance,1,1.518164842338581e-05,0.00034048348655090226
46,test,Benign,Data Exfiltration,Data Exfiltration,3,4.554494527015743e-05,0.0010214504596527069
46,test,Reconnaissance,Benign,Benign,11,0.00016699813265724393,0.003745318352059925
46,test,Reconnaissance,Reconnaissance,Benign,61,0.0009260805538265345,0.02076949267960504
46,test,Reconnaissance,Reconnaissance,Reconnaissance,3,4.554494527015743e-05,0.0010214504596527069
46,test,Reconnaissance,Reconnaissance,Establish Foothold,1,1.518164842338581e-05,0.00034048348655090226
46,test,Reconnaissance,Reconnaissance,Lateral Movement,3,4.554494527015743e-05,0.0010214504596527069
46,test,Reconnaissance,Reconnaissance,Data Exfiltration,23,0.00034917791373787366,0.007831120190670752
