study,contrast,condition,budget,rows,metric,baseline_mean,candidate_mean,delta_mean,seed_count
PX081,harm_minus_entropy,wrong_host_history,2,208094,OtherAttackStage.stage_f1,0.43758728623486504,0.7965516578351578,0.35896437160029276,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,LateralMovement.exact_stage_recall,0.4000000000000001,0.40952380952380957,0.00952380952380949,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,LateralMovement.warning_recall,0.4000000000000001,0.40952380952380957,0.00952380952380949,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,LateralMovement.attack_to_benign_count,21.0,20.666666666666668,-0.33333333333333215,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,LateralMovement.wrong_attack_stage_count,0.0,0.0,0.0,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,LateralMovement.stage_f1,0.08799959052953304,0.21557454890788222,0.12757495837834917,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,DataExfiltration.exact_stage_recall,0.6719930273097038,0.6708309122603139,-0.0011621150493899002,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,DataExfiltration.warning_recall,0.8745884175866744,0.6713151268642262,-0.20327329072244815,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,DataExfiltration.attack_to_benign_count,431.6666666666667,1131.3333333333333,699.6666666666665,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,DataExfiltration.wrong_attack_stage_count,697.3333333333334,1.6666666666666667,-695.6666666666667,3
PX081,harm_minus_entropy,wrong_host_history,2,208094,DataExfiltration.stage_f1,0.7694177790073845,0.7675810442011519,-0.0018367348062325872,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,macro_f1,0.6873353071125461,0.6763145200637498,-0.011020787048796277,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,benign_false_alert_rate,0.0003798265285416223,0.00045266997237152244,7.284344382990014e-05,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,benign_false_alert_count,73.0,87.0,14.0,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,attack_to_benign_count,3142.0,3618.0,476.0,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,wrong_attack_stage_count,616.6666666666666,620.3333333333334,3.6666666666667425,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,OtherAttackStage.exact_stage_recall,0.7899763897832153,0.7518512556342563,-0.03812513414895902,3
PX081,harm_minus_entropy,wrong_host_history,3,208094,OtherAttackStage.warning_recall,0.8110646061386563,0.7730736209487015,-0.03799098518995481,3
