study,dataset,condition,view,arm,budget,reference_only,n_views,mean_definition,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX083,casino,delay_120_deadline_120,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,17,0.018826135105204873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.8438442464409793,0.9693179597420364,17,0.018826135105204873,0.03152173913043478
PX083,casino,delay_120_deadline_120,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,8,0.008859357696566999,,,,,,,,,,,0.6260869565217392,,,,,,,,,,,,,,,,,,,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8716877511874316,0.9684059670379781,8,0.008859357696566999,0.021739130434782608
PX083,casino,delay_120_deadline_120,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,7,0.007751937984496124,,,,,,,,,,,0.5152173913043478,,,,,,,,,,,,,,,,,,,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8671529436746829,0.9682105400299655,7,0.007751937984496124,0.020652173913043477
PX083,casino,delay_120_deadline_120,,target_cost_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,16,0.017718715393133997,,,,,,,,,,,0.42934782608695654,,,,,,,,,,,,,,,,,,,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8579928937314336,0.9667122663018696,16,0.017718715393133997,0.030434782608695653
PX083,casino,execve_absent,,current,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,61,0.06755260243632337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.19736842105263158,0.8823529411764706,0.3225806451612903,0.8507508308954946,0.9723796495342323,61,0.06755260243632337,0.075
PX083,casino,execve_absent,,context,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,49,0.05426356589147287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.234375,0.8823529411764706,0.37037037037037035,0.8407638865262704,0.9835841313269494,49,0.05426356589147287,0.06195652173913044
PX083,casino,execve_absent,,fixed_fusion,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,43,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.25862068965517243,0.8823529411764706,0.4,0.8555959841917371,0.9785030291186242,43,0.047619047619047616,0.05543478260869565
PX083,casino,execve_absent,,mixed_dropout,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,24,0.026578073089700997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3684210526315789,0.8235294117647058,0.509090909090909,0.8137774890559164,0.9652791349097778,24,0.026578073089700997,0.0391304347826087
PX083,casino,execve_absent,,confidence_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,43,0.047619047619047616,,,,,,,,,,,0.7021739130434783,,,,,,,,,,,,,,,,,,,17,0.25862068965517243,0.8823529411764706,0.4,0.8526459073836735,0.9779818904305908,43,0.047619047619047616,0.05543478260869565
PX083,casino,execve_absent,,ordinary_gate,,False,1,same-event perturbation mean; one view unless random-loss condition,920,,,,,903,61,0.06755260243632337,,,,,,,,,,,0.6152173913043478,,,,,,,,,,,,,,,,,,,17,0.19736842105263158,0.8823529411764706,0.3225806451612903,0.8529751040342193,0.9773956094065532,61,0.06755260243632337,0.075
