study,dataset,condition,view,arm,budget,reference_only,class,n_views,support,support_available_views,predicted_count,predicted_count_available_views,true_positive_count,true_positive_count_available_views,precision,precision_available_views,exact_recall,exact_recall_available_views,f1,f1_available_views,average_precision,average_precision_available_views,roc_auc,roc_auc_available_views,warning_recall,warning_recall_available_views,missed_warning_count,missed_warning_count_available_views,wrong_attack_stage_count,wrong_attack_stage_count_available_views
PX081,UNRAVELED,clean,,full_context_reference,,True,OtherAttackStage,3,12424,3,12067.333333333334,3,12065.666666666666,3,0.9998619141573983,3,0.9711579738141233,3,0.9853006587549706,3,0.9987725971813968,3,0.9999052835128657,3,0.9947950203906417,3,64.66666666666667,3,293.6666666666667,3
PX081,UNRAVELED,clean,,full_context_reference,,True,LateralMovement,3,35,3,757,3,24,3,0.07086792098879126,3,0.6857142857142857,3,0.11369521035702283,3,0.1553382201857073,3,0.9978120675019151,3,0.6857142857142857,3,11,3,0,3
PX081,UNRAVELED,clean,,full_context_reference,,True,DataExfiltration,3,3442,3,2607,3,2311.3333333333335,3,0.8866020677348784,3,0.6715088127057912,3,0.7642061692258859,3,0.9223823522362585,3,0.9982944611683018,3,0.852024017044354,3,509.3333333333333,3,621.3333333333334,3
PX081,UNRAVELED,delayed_unavailable,,none,1,False,Benign,3,192193,3,193194.33333333334,3,192029,3,0.9939680777061192,3,0.9991466910865641,3,0.9965506563467037,3,0.9983583434301234,3,0.9848079637615607,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,none,1,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12025,3,0.9995567053346309,3,0.9678847392144238,3,0.983465768568905,3,0.9896415249721386,3,0.9982569389599708,3,0.9968072547757029,3,39.666666666666664,3,359.3333333333333,3
PX081,UNRAVELED,delayed_unavailable,,none,1,False,LateralMovement,3,35,3,165.33333333333334,3,27.333333333333332,3,0.16553544494720965,3,0.780952380952381,3,0.2731026263142213,3,0.1787012357424593,3,0.9995455730391494,3,0.780952380952381,3,7.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,none,1,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594695691495975,3,0.6751888436955259,3,0.7562645971066267,3,0.6373037168156886,3,0.8517437772389999,3,0.6751888436955259,3,1118,3,0,3
PX081,UNRAVELED,delayed_unavailable,,roles_first,1,False,Benign,3,192193,3,192691,3,192019.66666666666,3,0.99651908483943,3,0.9990981287906775,3,0.9978061747068533,3,0.9994702425155775,3,0.9951314798076353,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,roles_first,1,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12024.333333333334,3,0.9995012883016934,3,0.967831079630822,3,0.983411233094977,3,0.989141892980868,3,0.9981129353623572,3,0.996807254775703,3,39.666666666666664,3,360,3
PX081,UNRAVELED,delayed_unavailable,,roles_first,1,False,LateralMovement,3,35,3,668.6666666666666,3,29.333333333333332,3,0.07363521101338898,3,0.8380952380952381,3,0.12947405962043798,3,0.1614136060028424,3,0.9990156180515646,3,0.8380952380952381,3,5.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,roles_first,1,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594688921001272,3,0.6751888436955259,3,0.7562645211033442,3,0.6724970711437457,3,0.939628816575571,3,0.8181289947704823,3,626,3,492,3
PX081,UNRAVELED,delayed_unavailable,,history_first,1,False,Benign,3,192193,3,192691,3,192019.66666666666,3,0.99651908483943,3,0.9990981287906775,3,0.9978061747068533,3,0.9994702425155775,3,0.9951314798076353,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,history_first,1,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12024.333333333334,3,0.9995012883016934,3,0.967831079630822,3,0.983411233094977,3,0.989141892980868,3,0.9981129353623572,3,0.996807254775703,3,39.666666666666664,3,360,3
PX081,UNRAVELED,delayed_unavailable,,history_first,1,False,LateralMovement,3,35,3,668.6666666666666,3,29.333333333333332,3,0.07363521101338898,3,0.8380952380952381,3,0.12947405962043798,3,0.1614136060028424,3,0.9990156180515646,3,0.8380952380952381,3,5.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,history_first,1,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594688921001272,3,0.6751888436955259,3,0.7562645211033442,3,0.6724970711437457,3,0.939628816575571,3,0.8181289947704823,3,626,3,492,3
PX081,UNRAVELED,delayed_unavailable,,random,1,False,Benign,3,192193,3,192691,3,192019.66666666666,3,0.99651908483943,3,0.9990981287906775,3,0.9978061747068533,3,0.9994702425155775,3,0.9951314798076353,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,random,1,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12024.333333333334,3,0.9995012883016934,3,0.967831079630822,3,0.983411233094977,3,0.989141892980868,3,0.9981129353623572,3,0.996807254775703,3,39.666666666666664,3,360,3
PX081,UNRAVELED,delayed_unavailable,,random,1,False,LateralMovement,3,35,3,668.6666666666666,3,29.333333333333332,3,0.07363521101338898,3,0.8380952380952381,3,0.12947405962043798,3,0.1614136060028424,3,0.9990156180515646,3,0.8380952380952381,3,5.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,random,1,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594688921001272,3,0.6751888436955259,3,0.7562645211033442,3,0.6724970711437457,3,0.939628816575571,3,0.8181289947704823,3,626,3,492,3
PX081,UNRAVELED,delayed_unavailable,,entropy,1,False,Benign,3,192193,3,192706,3,192023.33333333334,3,0.9964604085210114,3,0.99911720683549,3,0.9977863139841056,3,0.9994460282368323,3,0.9948726138924266,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,entropy,1,False,OtherAttackStage,3,12424,3,12030.666666666666,3,12024.333333333334,3,0.999473641943458,3,0.967831079630822,3,0.9833978376107427,3,0.9892035030827343,3,0.9981138725608392,3,0.9967267654003005,3,40.666666666666664,3,359,3
PX081,UNRAVELED,delayed_unavailable,,entropy,1,False,LateralMovement,3,35,3,654.3333333333334,3,28.333333333333332,3,0.07384706387819814,3,0.8095238095238095,3,0.12942987823495014,3,0.15755949638456418,3,0.9989387625625423,3,0.8095238095238095,3,6.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,entropy,1,False,DataExfiltration,3,3442,3,2703,3,2324,3,0.859787539477462,3,0.6751888436955259,3,0.7563876671338873,3,0.670748028230107,3,0.9377798321368426,3,0.8154173929885725,3,635.3333333333334,3,482.6666666666667,3
PX081,UNRAVELED,delayed_unavailable,,harm,1,False,Benign,3,192193,3,193182.33333333334,3,192025.33333333334,3,0.9940108430304478,3,0.9991276130417515,3,0.9965626583876902,3,0.9983912257995999,3,0.9851677073023994,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,harm,1,False,OtherAttackStage,3,12424,3,12031.333333333334,3,12025.666666666666,3,0.9995290129417312,3,0.9679383987980253,3,0.9834800475859595,3,0.9894640354931543,3,0.9981988504108147,3,0.9968072547757029,3,39.666666666666664,3,358.6666666666667,3
PX081,UNRAVELED,delayed_unavailable,,harm,1,False,LateralMovement,3,35,3,177.33333333333334,3,28.333333333333332,3,0.16019360591839282,3,0.8095238095238095,3,0.267172021796792,3,0.17817101987989856,3,0.9995351593263724,3,0.8095238095238095,3,6.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,harm,1,False,DataExfiltration,3,3442,3,2703,3,2324,3,0.8597886174443152,3,0.6751888436955259,3,0.7563878803542627,3,0.641512996137344,3,0.8553708699999809,3,0.6773193879527407,3,1110.6666666666667,3,7.333333333333333,3
PX081,UNRAVELED,delayed_unavailable,,none,2,False,Benign,3,192193,3,193194.33333333334,3,192029,3,0.9939680777061192,3,0.9991466910865641,3,0.9965506563467037,3,0.9983583434301234,3,0.9848079637615607,3,,0,,0,,0
PX081,UNRAVELED,delayed_unavailable,,none,2,False,OtherAttackStage,3,12424,3,12030.333333333334,3,12025,3,0.9995567053346309,3,0.9678847392144238,3,0.983465768568905,3,0.9896415249721386,3,0.9982569389599708,3,0.9968072547757029,3,39.666666666666664,3,359.3333333333333,3
PX081,UNRAVELED,delayed_unavailable,,none,2,False,LateralMovement,3,35,3,165.33333333333334,3,27.333333333333332,3,0.16553544494720965,3,0.780952380952381,3,0.2731026263142213,3,0.1787012357424593,3,0.9995455730391494,3,0.780952380952381,3,7.666666666666667,3,0,3
PX081,UNRAVELED,delayed_unavailable,,none,2,False,DataExfiltration,3,3442,3,2704,3,2324,3,0.8594695691495975,3,0.6751888436955259,3,0.7562645971066267,3,0.6373037168156886,3,0.8517437772389999,3,0.6751888436955259,3,1118,3,0,3
PX081,UNRAVELED,delayed_unavailable,,roles_first,2,False,Benign,3,192193,3,192691,3,192019.66666666666,3,0.99651908483943,3,0.9990981287906775,3,0.9978061747068533,3,0.9994702425155775,3,0.9951314798076353,3,,0,,0,,0
