study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX081,harm_minus_entropy,wrong_host_history,1,8103,benign_false_alert_count,169.5,171.0,1.5,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,macro_f1,0.5099262326066,0.6735502529842767,0.1636240203776768,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,exfil_warning_recall,0.8236490412550843,0.6711214410226612,-0.152527600232423,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,movement_exact_recall,0.5,0.4714285714285714,-0.028571428571428567,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,benign_false_alert_rate,0.0004162482504565723,0.0004708808333289974,5.463258287242512e-05,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,exfil_to_benign_count,607.0,1132.0,525.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8101,benign_false_alert_count,80.0,90.5,10.5,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,macro_f1,0.5891069886232216,0.7288283204374844,0.1397213318142628,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,exfil_warning_recall,0.8240848343986055,0.6715572341661824,-0.152527600232423,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,movement_exact_recall,0.24285714285714285,0.2571428571428571,0.014285714285714277,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,benign_false_alert_rate,0.00022633498618576116,0.00028877222375424703,6.243723756848585e-05,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,exfil_to_benign_count,605.5,1130.5,525.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8102,benign_false_alert_count,43.5,55.5,12.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,macro_f1,0.6071053514000033,0.6739951380314593,0.066889786631456,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,exfil_warning_recall,0.9760313771063336,0.671266705403835,-0.30476467170249855,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,movement_exact_recall,0.4571428571428572,0.5,0.042857142857142844,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,benign_false_alert_rate,0.00038763118323768294,0.0005047010036785939,0.00011706982044091097,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,exfil_to_benign_count,82.5,1131.5,1049.0,True,False,True
PX081,harm_minus_entropy,wrong_host_history,2,8103,benign_false_alert_count,74.5,97.0,22.5,True,False,True
PX081,harm_minus_entropy,wrong_host_history,3,8101,macro_f1,0.6603586585768615,0.6489508137529523,-0.011407844823909219,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8101,exfil_warning_recall,0.8259732713538641,0.8252469494479954,-0.0007263219058686876,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8101,movement_exact_recall,0.4714285714285715,0.5142857142857142,0.042857142857142816,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8101,benign_false_alert_rate,0.0004682792817636438,0.0005307165193321297,6.243723756848588e-05,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8101,exfil_to_benign_count,599.0,601.5,2.5,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8101,benign_false_alert_count,90.0,102.0,12.0,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,macro_f1,0.7251555700164969,0.7225341258801146,-0.002621444136382267,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,exfil_warning_recall,0.6730098779779199,0.6703951191167925,-0.0026147588611272754,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,movement_exact_recall,0.1857142857142857,0.19999999999999998,0.01428571428571429,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,benign_false_alert_rate,0.0001795070580093968,0.00022373343462040764,4.4226376611010816e-05,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,exfil_to_benign_count,1125.5,1134.5,9.0,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8102,benign_false_alert_count,34.5,43.0,8.5,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,macro_f1,0.6764916927442801,0.6574586205581825,-0.019033072186097566,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,exfil_warning_recall,0.8266995932597327,0.8253922138291692,-0.0013073794305636377,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,movement_exact_recall,0.5428571428571429,0.6,0.057142857142857106,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,benign_false_alert_rate,0.0004916932458518261,0.0006035599631620299,0.00011186671731020383,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,exfil_to_benign_count,596.5,601.0,4.5,False,False,False
PX081,harm_minus_entropy,wrong_host_history,3,8103,benign_false_alert_count,94.5,116.0,21.5,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,macro_f1,0.7391141140616294,0.7963810409252852,0.05726692686365581,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,exfil_warning_recall,0.673054587688734,0.9927409988385598,0.3196864111498257,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,movement_exact_recall,0.2777777777777778,0.5555555555555556,0.2777777777777778,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,benign_false_alert_rate,0.00024974505192615874,0.0010458074049407896,0.0007960623530146309,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,exfil_to_benign_count,563.0,12.5,-550.5,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260923,benign_false_alert_count,24.0,100.5,76.5,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,macro_f1,0.7362989359544486,0.79617947650315,0.059880540548701455,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,exfil_warning_recall,0.6724738675958188,0.9927409988385598,0.320267131242741,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,movement_exact_recall,0.2777777777777778,0.6111111111111112,0.33333333333333337,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,benign_false_alert_rate,0.00029136922724718513,0.001118649711752586,0.0008272804845054008,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,exfil_to_benign_count,564.0,12.5,-551.5,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260924,benign_false_alert_count,28.0,107.5,79.5,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,macro_f1,0.7340233700871166,0.8065848691168871,0.0725614990297705,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,exfil_warning_recall,0.6724738675958188,0.9930313588850174,0.3205574912891986,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,movement_exact_recall,0.2222222222222222,0.6666666666666667,0.4444444444444445,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,benign_false_alert_rate,0.00020812087660513224,0.0006035505421548836,0.00039542966554975136,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,exfil_to_benign_count,564.0,12.0,-552.0,False,False,False
PX082,current_mixed_minus_past,common_anchor,,20260925,benign_false_alert_count,20.0,58.0,38.0,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260923,macro_f1,0.7567772857585235,0.7975414702038578,0.040764184445334195,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260923,exfil_warning_recall,0.6689895470383275,0.8734030197444832,0.20441347270615573,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260923,movement_exact_recall,0.2777777777777778,0.5277777777777778,0.25,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260923,benign_false_alert_rate,0.00013527856979333596,0.00047867801619180426,0.0003433994463984683,False,False,False
PX082,current_history_mixed_minus_past,common_anchor,,20260923,exfil_to_benign_count,570.0,218.0,-352.0,False,False,False
