dataset,seed,scenario,drop_rate,arm,n,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,false_positives_per_10000_benign_nodes,average_precision,accuracy,predicted_positive
theia,211,drop_0.5_mask_20260920,0.5,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,211,drop_0.5_mask_20260920,0.5,prior_quality_gate,344767,8,2004,317444,25311,0.003976143141153081,0.0003159682451913583,0.0005854158281804544,0.006273321479552228,62.73321479552228,0.37053998591051873,0.9207725797422607,2012
theia,211,drop_0.5_mask_20260920,0.5,prior_confidence_selector,344767,8,2006,317442,25311,0.003972194637537239,0.0003159682451913583,0.0005853729923535653,0.006279582279432021,62.7958227943202,0.3761644935979755,0.9207667787230216,2014
theia,307,drop_0.5_mask_20260920,0.5,local_knn,344767,10883,19068,300380,14436,0.3633601549197022,0.429835301552194,0.3938121946806586,0.05969046605394305,596.9046605394306,0.2197456291074749,0.9028213257069267,29951
theia,307,drop_0.5_mask_20260920,0.5,mlp_knn,344767,10786,156550,162898,14533,0.06445714012525697,0.42600418657924877,0.11197217824608757,0.4900641105907691,4900.641105907691,0.18177659432110616,0.5037721127602119,167336
theia,307,drop_0.5_mask_20260920,0.5,gin_knn,344767,23309,180007,139441,2010,0.11464419917763481,0.9206129783956712,0.20389704113543422,0.5634939019809171,5634.9390198091705,0.11347927864589087,0.47205794058015993,203316
theia,307,drop_0.5_mask_20260920,0.5,quality_gate,344767,12707,157579,161869,12612,0.07462151909141092,0.5018760614558236,0.129925104164004,0.4932852921289224,4932.852921289224,0.1918876840001229,0.5063593673408417,170286
theia,307,drop_0.5_mask_20260920,0.5,confidence_selector,344767,22195,151237,168211,3124,0.12797522948475484,0.8766144002527746,0.2233447882023235,0.4734322957100999,4734.322957100999,0.11261312968895133,0.5522744346181624,173432
theia,307,drop_0.5_mask_20260920,0.5,prior_mlp,344767,8,2042,317406,25311,0.003902439024390244,0.0003159682451913583,0.0005846030180130804,0.006392276677268288,63.92276677268288,0.37292754742480555,0.9206623603767182,2050
theia,307,drop_0.5_mask_20260920,0.5,prior_gin,344767,8,2001,317447,25311,0.003982080637132902,0.0003159682451913583,0.000585480093676815,0.006263930279732538,62.639302797325385,0.3658824808899019,0.9207812812711194,2009
theia,307,drop_0.5_mask_20260920,0.5,prior_isolation_forest,344767,98,1875,317573,25221,0.0496705524581855,0.003870611003594139,0.007181591675216181,0.0058694998873056025,58.69499887305602,0.5898161227634453,0.92140779134894,1973
theia,307,drop_0.5_mask_20260920,0.5,prior_type_rarity,344767,0,3,319445,25319,0.0,0.0,0.0,9.391199819688963e-06,0.09391199819688964,0.4276823881018869,0.9265532954140042,3
theia,307,drop_0.5_mask_20260920,0.5,prior_quality_gate,344767,8,2001,317447,25311,0.003982080637132902,0.0003159682451913583,0.000585480093676815,0.006263930279732538,62.639302797325385,0.368157926106873,0.9207812812711194,2009
