setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,random_uniform,5,13,BlackTech,G0098,14,0.0,0.0,0.0,0.0196078431372549,51.0
standard,frequency_prior,5,13,BlackTech,G0098,14,0.0,0.0,0.0,0.009900990099009901,101.0
standard,overlap_cosine,5,13,BlackTech,G0098,14,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,BlackTech,G0098,14,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Leviathan,G0065,50,0.0,0.0,0.0,0.01020408163265306,98.0
standard,frequency_prior,5,13,Leviathan,G0065,50,0.0,0.0,0.0,0.03571428571428571,28.0
standard,overlap_cosine,5,13,Leviathan,G0065,50,0.0,1.0,1.0,0.25,4.0
standard,svd32_graph_embedding,5,13,Leviathan,G0065,50,0.0,0.0,1.0,0.14285714285714285,7.0
standard,random_uniform,5,13,Blue Mockingbird,G0108,22,0.0,0.0,0.0,0.0064516129032258064,155.0
standard,frequency_prior,5,13,Blue Mockingbird,G0108,22,0.0,0.0,0.0,0.013157894736842105,76.0
standard,overlap_cosine,5,13,Blue Mockingbird,G0108,22,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Blue Mockingbird,G0108,22,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Winter Vivern,G1035,27,0.0,0.0,0.0,0.007042253521126761,142.0
standard,frequency_prior,5,13,Winter Vivern,G1035,27,0.0,0.0,0.0,0.014925373134328358,67.0
standard,overlap_cosine,5,13,Winter Vivern,G1035,27,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Winter Vivern,G1035,27,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Turla,G0010,68,0.0,1.0,1.0,0.5,2.0
standard,frequency_prior,5,13,Turla,G0010,68,0.0,0.0,0.0,0.07692307692307693,13.0
standard,overlap_cosine,5,13,Turla,G0010,68,0.0,1.0,1.0,0.2,5.0
standard,svd32_graph_embedding,5,13,Turla,G0010,68,0.0,0.0,0.0,0.05,20.0
standard,random_uniform,5,13,Storm-0501,G1053,42,0.0,0.0,0.0,0.013888888888888888,72.0
standard,frequency_prior,5,13,Storm-0501,G1053,42,0.0,0.0,0.0,0.02564102564102564,39.0
standard,overlap_cosine,5,13,Storm-0501,G1053,42,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Storm-0501,G1053,42,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,TA505,G0092,34,0.0,0.0,0.0,0.006369426751592357,157.0
standard,frequency_prior,5,13,TA505,G0092,34,0.0,0.0,0.0,0.019230769230769232,52.0
standard,overlap_cosine,5,13,TA505,G0092,34,0.0,1.0,1.0,0.25,4.0
standard,svd32_graph_embedding,5,13,TA505,G0092,34,0.0,0.0,1.0,0.125,8.0
standard,random_uniform,5,13,BITTER,G1002,16,0.0,0.0,0.0,0.0136986301369863,73.0
standard,frequency_prior,5,13,BITTER,G1002,16,0.0,0.0,0.0,0.010416666666666666,96.0
standard,overlap_cosine,5,13,BITTER,G1002,16,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,BITTER,G1002,16,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,DarkVishnya,G0105,10,0.0,0.0,0.0,0.041666666666666664,24.0
standard,frequency_prior,5,13,DarkVishnya,G0105,10,0.0,0.0,0.0,0.008264462809917356,121.0
standard,overlap_cosine,5,13,DarkVishnya,G0105,10,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,DarkVishnya,G0105,10,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,RedCurl,G1039,41,0.0,0.0,0.0,0.008547008547008548,117.0
standard,frequency_prior,5,13,RedCurl,G1039,41,0.0,0.0,0.0,0.024390243902439025,41.0
standard,overlap_cosine,5,13,RedCurl,G1039,41,0.0,1.0,1.0,0.5,2.0
standard,svd32_graph_embedding,5,13,RedCurl,G1039,41,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,FIN5,G0053,11,0.0,0.0,0.0,0.037037037037037035,27.0
standard,frequency_prior,5,13,FIN5,G0053,11,0.0,0.0,0.0,0.008695652173913044,115.0
standard,overlap_cosine,5,13,FIN5,G0053,11,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,FIN5,G0053,11,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Lotus Blossom,G0030,21,0.0,0.0,0.0,0.007692307692307693,130.0
standard,frequency_prior,5,13,Lotus Blossom,G0030,21,0.0,0.0,0.0,0.012658227848101266,79.0
standard,overlap_cosine,5,13,Lotus Blossom,G0030,21,1.0,1.0,1.0,1.0,1.0
